,author,title,time,content
0,duketoko (DUKE東鄉),[閒聊] 不生小孩的報應,Tue Aug 20 20:35:24 2019,"


不生小孩的報應我是沒看到啦

以我叔叔為例

沒生小孩也沒娶老婆

錢爽爽花

土地貸給銀行繼續爽爽花

房子住我家

趕也趕不走

你他喵跟我說報應

哪來的報應


"
1,georgeamy (囧rz先生),[討論] 關於生小孩,Tue Apr  9 18:40:57 2019,"
小弟一直是打算未來不想有小孩（算覺得小孩很煩吧..?)
但剛剛吃飯無意間看到這個影片
（影片也沒什麼，就一對父子的日常對話）
http://bit.ly/2UHckcX

竟然有點覺得如果真的有小孩
好像也沒想像的那麼恐怖
內心想生跟不想生的比例有點動搖了
（不想 65% / 想 35% , 之前：不想 90% / 想 10%)

所以想問問各位夥伴對於生小孩的看法
如果還沒有小孩的話會想生嗎....?
然後已經有小孩的，會後悔嗎...?


"
2,kittor (),[閒聊] 生小孩,Wed Mar 20 23:00:53 2019,"

最後一篇，來生個小孩好了

https://www.youtube.com/watch?v=0fUsJnkuth4

雖然可能還沒生出來就結束啦

需要再補字嗎((???




"
3,greenbag (綠包),[閒聊] 如果生小孩,Wed Mar  6 21:43:38 2019,"

那就教好他！！！！

那就教好他！！！！

你不管他生他到底要槓麻！！！

傳宗接代啊？植物也會傳宗接代好嗎！！！

生，又不教？

到底哪裡來的想法？

給他吃喝就是愛他，到底哪裡來的想法？

怒！


"
4,lpbrother (LP哥(LP = Love & Peace)),Re: [閒聊] 男孩兒沒能力會想生小孩嗎,Sat Feb  9 10:45:08 2019,"


早上才看費玉清的新聞

費玉清家產萬貫，

在台北好幾棟房子

但是他都沒結婚沒生小孩

現在他打算退休去養雞

也許養雞都比養小孩好？




: 做好準備再生比較好
: 不過我有個叔叔，已經40多歲了還是領日薪的那種工作，可是他有五個小孩，其中一個已
: 經24歲左右的小孩了，可是因為是重度智能障礙，所以沒有工作能力。
: 可是他們一家感覺也過得滿快樂的@@
: 男孩兒覺得呢~


"
5,tigerblue663 (>>>___<<<),[閒聊] 男孩兒沒能力會想生小孩嗎,Sat Feb  9 09:45:31 2019,"
我有個同事21歲，她18歲的時候懷孕，所以跟她的男友奉子成婚，他們的年紀一樣大～

我以前打工的時候會跟那個女生聊天，她說她跟她老公離婚了，小孩的撫養權在爸爸那裡

我就問她，為什麼不是在妳這裡？

結果那個同事跟我說，因為她沒有能力撫養她的小孩。所以她簽了志願役，因為她說志願
役的薪水很穩定。

害我想到那個女孩兒演的當兵日記==

她跟我說 她前夫現在也交新女友了 她很難過每天都在哭：(

聽了是滿不捨的，因為她要上班還要上課，她現在是大二夜校的學生。

可是我也沒辦法幫助她什麼，所以她難過的時候，頂多就安靜聽她哭：(

有時候小妹會想，如果不小心有小孩了，可是沒有能力撫養該怎麼辦@@

自己的結論是不要生，有能力再生回來，因為照顧一個生命是一件很辛苦的事，我覺得要
做好準備再生比較好

不過我有個叔叔，已經40多歲了還是領日薪的那種工作，可是他有五個小孩，其中一個已
經24歲左右的小孩了，可是因為是重度智能障礙，所以沒有工作能力。

可是他們一家感覺也過得滿快樂的@@

男孩兒覺得呢~




"
6,LongRanger (孤星),Re: [請益] 結婚不生小孩和不結婚只交女友哪個好？,Wed Sep 26 07:24:40 2018,"
安安你好 我又來認真回了 你寫的很奇妙 但是我還是認真回你

先講看到你 MV 想到的事

https://youtu.be/i0vFid2tKbI 先看這個 mv 為甚麼哩因為台灣有一群公子哥/妹

晚上都在夜店做這種事 https://www.thenewslens.com/article/56743

這些人家理都粉有錢啦 不用想著跟他們混熟或是變成那樣的人 所以清醒點沒?

結婚生小孩這件事 婚前/婚後 算一下到底能給小孩甚麼資源 錢不算啦

因為錢都沒有 生活會很慘的

後面你已經在繞圈圈就不吐你了 只能說你還沒遇到 遇到就知道了

https://youtu.be/fcLPFchVP9g 不如看看這個

※ 引述《heartlock (heartlock)》之銘言：
: 推 heartlock: 不生小孩為什麼要結婚？                               09/25 20:22
: → takomalu: 因為愛                                                09/25 22:54
: 推 snakelalala: 生小孩幹嘛要結婚= =?                               09/25 23:00
: 這樣問，應該可以看得出我結婚是為了生小孩XDD
: 肥宅我比較悲觀，覺得婚姻真的無法保障什麼
: 基本上我不太需要人養
: 婚姻裡的金錢資源比較會用在小孩身上
: 肥宅我窮窮也有窮窮的過法
: 而且時間久了，心都會走，人都會變
: 心走了，人也就不用留了
: 如果不是為了小孩，真的沒有結婚的必要
: 也是啦，生小孩不一定要結婚
: 但是在我的概念裡，大人和小孩是不同的物種
: 大人要為小孩負起全然的責任
: 如果能讓他/她過更健全美好的生活
: 肥宅我願意忍受不那麼契合愉悅的婚姻生活
: 當然也有像章魚丸那麼美好的婚姻生活
: 像這個 https://youtu.be/4OmnMApuSzs
: https://youtu.be/zysGFhElcKc
: 馬的，半夜看到這種不會發生在自己身上的童話
: 害我好難過QQ


"
7,heartlock (heartlock),Re: [請益] 結婚不生小孩和不結婚只交女友哪個好？,Wed Sep 26 02:08:39 2018,"
推 heartlock: 不生小孩為什麼要結婚？09/25 20:22
→ takomalu: 因為愛09/25 22:54
推 snakelalala: 生小孩幹嘛要結婚= =?09/25 23:00

這樣問，應該可以看得出我結婚是為了生小孩XDD
肥宅我比較悲觀，覺得婚姻真的無法保障什麼
基本上我不太需要人養
婚姻裡的金錢資源比較會用在小孩身上
肥宅我窮窮也有窮窮的過法
而且時間久了，心都會走，人都會變
心走了，人也就不用留了
如果不是為了小孩，真的沒有結婚的必要

也是啦，生小孩不一定要結婚
但是在我的概念裡，大人和小孩是不同的物種
大人要為小孩負起全然的責任
如果能讓他/她過更健全美好的生活
肥宅我願意忍受不那麼契合愉悅的婚姻生活

當然也有像章魚丸那麼美好的婚姻生活
像這個 https://youtu.be/4OmnMApuSzs
https://youtu.be/zysGFhElcKc
馬的，半夜看到這種不會發生在自己身上的童話
害我好難過QQ


"
8,KIONE (清小音),Re: [請益] 結婚不生小孩和不結婚只交女友哪個好？,Tue Sep 25 14:29:23 2018,"
※ 引述《fawangching (廢文君5566)》之銘言：
: 如果有一種狀況
: 1.
: 結婚不生小孩的男人
: 2.
: 不結婚只交女友的男人
: 只有這兩種情況下去比較
: 哪個選擇比較好？
: 為什麼？
: 或是各有什麼優點和缺點嗎？

1……

男人不會生小孩

是女生在生


2的話
會有隨時在交女友
沒保障
沒承諾
除非你是玩咖
要不然不會選2


"
9,fawangching (廢文君5566),[請益] 結婚不生小孩和不結婚只交女友哪個好？,Tue Sep 25 12:41:24 2018,"
如果有一種狀況
1.
結婚不生小孩的男人
2.
不結婚只交女友的男人

只有這兩種情況下去比較
哪個選擇比較好？
為什麼？
或是各有什麼優點和缺點嗎？



"
