"","gram","freq"
"17","時間",36
"40","不生",22
"57","想生",19
"139","房子",11
"141","環境",11
"165","教育",10
"244","女兒",8
"328","自私",7
"345","負擔",6
"404","壓力",6
"434","傳統",5
"492","能力",5
"526","犧牲",5
"657","開銷",4
"734","歪掉",4
"748","薪水",4
"817","補助",3
"843","成長",3
"919","房貸",3
"1033","可愛",3
"1194","完整",3
"1307","自費",3
"1308","自由",3
"1617","負責",2
"1993","陪伴",2
"1997","剖腹",2
"2182","討厭",2
"2298","選舉",2
"2494","尊重",2
"3274","催生",1
"3436","當爸",1
"3450","當媽",1
"4481","溝通",1
"6000","累死",1
"6794","婆婆",1
"7016","窮養",1
"8400","溫馨",1
"10353","不想生",10
"10390","不要生",6
"10466","不敢生",4
"10727","價值觀",3
"10817","少子化",3
"10891","養不起",3
"11736","育嬰假",2
"12644","不能生",1
"17336","結婚率",1
"23826","要生嗎",1
"28127","產後憂鬱症",2
"29358","不喜歡小孩",1
