"word","n"
"的",1549
"我",706
"是",491
"了",467
"小孩",461
"都",346
"有",307
"不",305
"也",301
"你",284
"就",281
"會",266
"生小孩",255
"自己",237
"要",236
"在",220
"他",179
"結婚",167
"人",166
"很",161
"跟",153
"沒",149
"可以",144
"覺得",142
"一個",132
"說",130
"好",128
"就是",126
"為",125
"但",121
"因為",120
"什麼",116
"生",114
"想",114
"沒有",111
"如果",104
"到",99
"現在",99
"嗎",98
"去",97
"真的",93
"不會",89
"被",83
"和",83
"不想",80
"讓",79
"人生",79
"這樣",79
"對",78
"不是",76
"她",75
"孩子",74
"父母",73
"啊",72
"一樣",69
"才",68
"還是",67
"那",67
"生活",66
"他們",66
"時間",65
"所以",65
"知道",65
"問題",63
"呢",62
"多",61
"很多",61
"錢",61
"上",61
"時候",59
"工作",58
"看",58
"但是",57
"不要",56
"大家",55
"又",55
"朋友",53
"這個",53
"看到",52
"可能",52
"一定",52
"照顧",52
"後",51
"經濟",50
"吧",49
"我們",49
"養",48
"應該",48
"比較",47
"開始",47
"這",47
"喜歡",46
"一直",45
"別人",44
"已經",44
"把",43
"女生",43
"想要",43
"這麼",43
"做",43
"其實",42
"買",41
"而",40
"或",40
"這種",40
"家庭",39
"然後",39
"再",39
"怎麼",39
"只是",39
"辦法",37
"不過",37
"還有",37
"老公",37
"歲",37
"台灣",37
"個",36
"根本",36
"生子",36
"更",35
"們",35
"能",35
"帶",34
"啦",34
"媽媽",34
"社會",34
"著",34
"感覺",33
"還要",33
"來",33
"事",33
"需要",33
"得",32
"出來",31
"之後",31
"雖然",30
"想法",30
"比",29
"不能",29
"單身",29
"而且",29
"還",29
"希望",29
"從",28
"的話",28
"那些",27
"前",27
"像",27
"選擇",27
"這些",27
"吃",26
"多少",26
"身邊",26
"完全",26
"無法",26
"下來",26
"一點",26
"一起",26
"以後",26
"非常",25
"就算",25
"甚麼",25
"甚至",25
"世界",25
"萬",25
"壓力",25
"之前",25
"只有",25
"不然",24
"不生",24
"大概",24
"等",24
"東西",24
"快樂",24
"長大",24
"必須",23
"不用",23
"或是",23
"你們",23
"是不是",23
"一堆",23
"以前",23
"有人",23
"最近",23
"愛",22
"爸媽",22
"本來",22
"當然",22
"理由",22
"年紀",22
"認為",22
"一",22
"只",22
"中",22
"阿",21
"幫",21
"不敢",21
"不夠",21
"決定",21
"買房",21
"男友",21
"陪",21
"窮人",21
"生活品質",21
"願意",21
"找",21
"懷孕",20
"環境",20
"家",20
"家裡",20
"結果",20
"可是",20
"兩個",20
"每個",20
"目前",20
"那麼",20
"努力",20
"痛苦",20
"一下",20
"大",19
"對象",19
"而已",19
"發現",19
"考慮",19
"拿",19
"聽",19
"小",19
"只能",19
"2",18
"房子",18
"高",18
"過",18
"叫",18
"快",18
"女孩",18
"時",18
"同學",18
"未來",18
"用",18
"有沒有",18
"責任",18
"30",17
"常常",17
"擔心",17
"對方",17
"改變",17
"接受",17
"來說",17
"老",17
"妳",17
"男生",17
"年輕人",17
"請",17
"誰",17
"完",17
"辛苦",17
"長輩",17
"最",17
"出國",16
"到底",16
"煩惱",16
"夫妻",16
"好像",16
"花",16
"幾乎",16
"家人",16
"就要",16
"滿足",16
"能力",16
"女人",16
"卻",16
"討論",16
"討厭",16
"玩",16
"下",16
"遇到",16
"原因",16
"至少",16
"po",16
"幫忙",15
"不到",15
"除了",15
"反正",15
"各位",15
"給",15
"好好",15
"後來",15
"教育",15
"年",15
"年輕",15
"如題",15
"犧牲",15
"以",15
"有點",15
"怎樣",15
"賺",15
"本身",14
"個人",14
"男方",14
"喔",14
"上班",14
"身體",14
"為何",14
"想到",14
"與",14
"月",14
"增加",14
"只要",14
"住",14
"自私",14
"最後",14
"1",13
"3",13
"不好",13
"出生",13
"打",13
"當",13
"對於",13
"付出",13
"機會",13
"交往",13
"可愛",13
"連",13
"慢慢",13
"女",13
"女兒",13
"起來",13
"太",13
"條件",13
"偉大",13
"我會",13
"想生",13
"幸福",13
"尤其",13
"有錢",13
"有錢人",13
"有些",13
"畢竟",12
"不錯",12
"不管",12
"不同",12
"出",12
"打算",12
"分享",12
"負責",12
"給他",12
"話",12
"婚姻",12
"基因",12
"另外",12
"每天",12
"那種",12
"其他",12
"人口",12
"若",12
"身上",12
"死",12
"問",12
"一般",12
"衣服",12
"影響",12
"有時候",12
"之類",12
"10",11
"傳宗接代",11
"得到",11
"該",11
"感情",11
"剛好",11
"關係",11
"很大",11
"恨",11
"後悔",11
"或者",11
"老婆",11
"另一半",11
"每次",11
"陪伴",11
"認真",11
"日本",11
"生育率",11
"十年",11
"事情",11
"是否",11
"雙方",11
"現代",11
"消費",11
"笑",11
"一次",11
"一切",11
"以上",11
"因素",11
"找到",11
"這件",11
"整個",11
"資源",11
"自我",11
"走",11
"u",11
"xd",11
"40",10
"抱",10
"不行",10
"才能",10
"穿",10
"等等",10
"負擔",10
"富裕",10
"高中",10
"國外",10
"好處",10
"花錢",10
"回去",10
"會想",10
"開銷",10
"看看",10
"靠",10
"例子",10
"兩人",10
"旅遊",10
"美國",10
"情況",10
"少子",10
"似乎",10
"收入",10
"下班",10
"像是",10
"小孩子",10
"許多",10
"養兒防老",10
"也許",10
"一輩子",10
"一年",10
"醫生",10
"越來越",10
"運動",10
"造成",10
"政府",10
"脂肪",10
"狀況",10
"5",9
"抱怨",9
"變",9
"變成",9
"並",9
"不婚",9
"擦",9
"成長",9
"存",9
"而是",9
"否則",9
"父母親",9
"更好",9
"過得",9
"害怕",9
"化",9
"即使",9
"家長",9
"膠原蛋白",9
"經驗",9
"絕對",9
"哭",9
"買不起",9
"買車",9
"哪",9
"跑",9
"認識",9
"日子",9
"生完",9
"受苦",9
"所謂",9
"她們",9
"太多",9
"同事",9
"突然",9
"洗",9
"先",9
"先生",9
"羨慕",9
