"","V1"
"小孩",726
"生小",261
"自己",240
"結婚",172
"一個",147
"可以",144
"覺得",144
"沒有",132
"就是",129
"因為",125
"什麼",120
"孩的",114
"的人",106
"如果",105
"生活",104
"不是",101
"現在",100
"真的",96
"人生",94
"不會",91
"不想",88
"父母",87
"孩子",84
"時候",82
"這樣",79
"想生",77
"時間",72
"一樣",69
"朋友",69
"還是",67
"他們",66
"知道",66
"很多",65
"所以",65
"要生",65
"的時",64
"問題",63
"不生",62
"不要",61
"工作",61
"是不",61
"但是",57
"個人",56
"大家",55
"可能",54
"一定",53
"看到",53
"這個",53
"照顧",52
"生的",52
"經濟",52
"我們",49
"都是",49
"喜歡",48
"怎麼",48
"應該",48
"為什",48
"也不",47
"也是",47
"比較",47
"開始",47
"一直",46
"家庭",46
"為了",46
"的小",46
"都不",46
"己的",45
"別人",44
"婚生",44
"已經",44
"我一",44
"這麼",44
"都沒",44
"女生",43
"想要",43
"有一",43
"其實",42
"台灣",42
"我不",42
"我的",42
"有人",41
"生了",41
"你的",40
"根本",40
"的生",40
"這種",40
"只是",39
"媽媽",39
"然後",39
"社會",38
"老公",38
"還有",38
"不過",37
"生子",37
"辦法",37
"世界",36
"人的",36
"養小",36
"下來",34
"感覺",34
"是我",34
"的是",34
"個小",33
"出來",33
"家裡",33
"年輕",33
"跟我",33
"還要",33
"需要",33
"一點",32
"不知",32
"單身",32
"的女",32
"之後",31
"就不",31
"會想",31
"00",30
"不能",30
"了小",30
"希望",30
"想法",30
"會有",30
"無法",30
"雖然",30
"品質",29
"多少",29
"有錢",29
"生下",29
"的話",29
"而且",29
"買房",29
"都會",29
"有小",28
"選擇",28
"女孩",27
"子的",27
"爸媽",27
"責任",27
"這些",27
"那些",27
"一起",26
"不用",26
"人不",26
"以後",26
"完全",26
"快樂",26
"身邊",26
"非常",26
"願意",26
"之前",25
"人都",25
"到了",25
"只有",25
"壓力",25
"就算",25
"年紀",25
"或是",25
"是一",25
"會不",25
"甚至",25
"甚麼",25
"的不",25
"的事",25
"的想",25
"的我",25
"長大",25
"0萬",24
"不然",24
"不結",24
"不起",24
"也會",24
"以前",24
"但我",24
"你們",24
"大概",24
"好的",24
"定要",24
"我覺",24
"房子",24
"是因",24
"東西",24
"歡小",24
"當然",24
"一堆",23
"上的",23
"們的",23
"最近",23
"就會",23
"必須",23
"沒辦",23
"窮人",23
"認為",23
"一下",22
"不夠",22
"個月",22
"我也",22
"我是",22
"是有",22
"本來",22
"理由",22
"發現",22
"不敢",21
"孩是",21
"帶小",21
