"","V1"
"的",1716
"不",1182
"是",1040
"生",993
"我",850
"孩",836
"小",833
"一",738
"有",712
"人",600
"要",536
"了",513
"會",510
"就",494
"在",386
"個",385
"這",384
"想",381
"都",360
"沒",356
"到",352
"你",338
"自",334
"也",320
"為",318
"好",316
"以",313
"他",294
"來",292
"家",287
"多",285
"可",282
"大",281
"很",281
"子",270
"還",270
"麼",257
"得",246
"時",243
"己",240
"婚",233
"後",229
"年",222
"說",221
"結",212
"上",211
"過",210
"覺",196
"能",194
"但",192
"們",187
"樣",186
"去",179
"女",176
"因",175
"看",175
"對",171
"然",167
"下",163
"養",162
"跟",160
"錢",159
"如",156
"現",156
"那",156
"出",153
"只",153
"老",142
"活",136
"真",136
"果",131
"身",129
"問",128
"經",127
"媽",123
"前",122
"本",121
"什",120
"定",120
"而",120
"0",119
"母",118
"法",117
"心",115
"事",113
"友",112
"所",111
"成",110
"買",105
"點",104
"少",103
"間",102
"感",101
"嗎",100
"給",100
"同",97
"力",96
"愛",96
"才",96
"當",95
"起",95
"之",93
"父",93
"無",92
"開",92
"和",91
"題",91
"被",90
"讓",90
"天",89
"比",89
"用",89
"高",89
"些",88
"著",88
"其",87
"常",87
"中",86
"最",86
"國",86
"她",85
"全",84
"啊",84
"道",84
"候",83
"學",83
"實",83
"或",83
"種",83
"長",83
"男",82
"2",81
"房",81
"公",80
"作",79
"方",77
"工",76
"知",76
"萬",75
"太",74
"算",73
"完",72
"已",72
"幾",71
"別",70
"朋",70
"變",70
"代",68
"每",68
"照",68
"該",68
"顧",68
"像",67
"意",66
"歲",66
"原",65
"怎",65
"外",64
"情",64
"話",64
"帶",63
"費",63
"o",62
"做",62
"兩",62
"台",62
"呢",62
"更",62
"花",62
"兒",61
"再",61
"分",61
"受",61
"快",61
"直",61
"回",60
"發",60
"等",60
"理",59
"認",59
"1",58
"喜",58
"應",58
"苦",58
"又",57
"打",57
"單",56
"面",56
"3",55
"爸",55
"存",54
"育",54
"裡",54
"世",53
"從",53
"濟",53
"吧",52
"接",52
"望",52
"歡",51
"質",51
"願",51
"十",50
"甚",50
"窮",50
"較",50
"輕",50
"體",50
"教",49
"次",49
"灣",49
"產",49
"至",49
"越",49
"邊",49
"5",48
"動",48
"始",48
"業",48
"樂",48
"阿",48
"社",47
"親",47
"吃",46
"庭",46
"輩",46
"非",46
"何",45
"品",45
"幫",45
"明",45
"根",45
"死",45
"辦",45
"e",44
"找",44
"月",44
"滿",44
"夠",43
"把",43
"於",43
"物",43
"重",43
"a",42
"加",42
"考",42
"選",42
"三",41
"班",41
"界",41
"連",41
"件",40
"保",40
"傳",40
"性",40
"拿",40
"早",40
"正",40
"玩",40
"美",40
"部",40
"需",40
"必",39
"相",39
"聽",39
"地",38
"擔",38
"文",38
"責",38
"難",38
"4",37
"任",37
"位",37
"日",37
"討",36
"請",36
"且",35
"剛",35
"啦",35
"差",35
"服",35
"觀",35
"近",35
"關",35
"陪",35
"乎",34
"反",34
"念",34
"壓",33
"慢",33
"整",33
"機",33
"氣",33
"由",33
"痛",33
"行",33
"通",33
"除",33
"低",32
"度",32
"提",32
"敢",32
"決",32
"煩",32
"論",32
"足",32
"錯",32
"l",31
"先",31
"另",31
"處",31
"負",31
"雖",31
"交",30
"哪",30
"基",30
"孕",30
"希",30
"懷",30
"手",30
"掉",30
"擇",30
"數",30
"期",30
"概",30
"病",30
"笑",30
"許",30
"講",30
"類",30
"半",29
"婆",29
"百",29
"資",29
"妻",28
"收",28
