"","V1"
"生小孩",261
"小孩的",114
"的時候",49
"為什麼",48
"自己的",45
"結婚生",43
"要生小",42
"不想生",38
"的小孩",37
"養小孩",35
"不生小",32
"不知道",31
"的生活",29
"了小孩",28
"個小孩",28
"想生小",28
"婚生子",27
"有小孩",27
"一個人",26
"的人生",26
"不結婚",24
"喜歡小",24
"我覺得",24
"是不是",24
"歡小孩",23
"沒辦法",23
"小孩是",21
"帶小孩",21
"是因為",21
"活品質",21
"生活品",21
"一定要",20
"小孩就",20
"生孩子",20
"小孩不",19
"小孩我",19
"生下來",19
"的想法",19
"會不會",18
"有沒有",18
"不要生",17
"孩的人",17
"年輕人",17
"我自己",17
"是小孩",17
"有一個",17
"小孩有",16
"會覺得",16
"結婚的",16
"一個小",15
"在台灣",15
"完全不",15
"小孩會",15
"想結婚",15
"我一樣",15
"我老公",15
"的父母",15
"顧小孩",15
"00萬",14
"孩子的",14
"小孩嗎",14
"是什麼",14
"是這樣",14
"有什麼",14
"生出來",14
"真的很",14
"不喜歡",13
"什麼要",13
"就覺得",13
"是可以",13
"是為了",13
"會想生",13
"有錢人",13
"生一個",13
"的時間",13
"越來越",13
"身邊的",13
"都沒有",13
"一定會",12
"傳宗接",12
"因為我",12
"小孩但",12
"小孩這",12
"就可以",12
"很多人",12
"有時候",12
"比較好",12
"的理由",12
"讓小孩",12
"<U+",11
"500",11
"不一定",11
"之類的",11
"個世界",11
"到這個",11
"原po",11
"另一半",11
"婚生小",11
"完小孩",11
"宗接代",11
"小孩也",11
"小孩呢",11
"小孩要",11
"想生的",11
"是自己",11
"本來就",11
"沒小孩",11
"生了小",11
"生完小",11
"生育率",11
"的問題",11
"自己也",11
"跟我一",11
"這件事",11
"還是會",11
"一輩子",10
"不願意",10
"兒防老",10
"到現在",10
"小孩可",10
"小孩子",10
"小孩很",10
"小孩真",10
"少子化",10
"就是不",10
"就是要",10
"我不會",10
"有很多",10
"有結婚",10
"照顧小",10
"的夫妻",10
"的東西",10
"覺得我",10
"這樣的",10
"養兒防",10
"一個月",9
"不想結",9
"不需要",9
"你自己",9
"原蛋白",9
"厭小孩",9
"因為他",9
"如果不",9
"如果你",9
"如果是",9
"孩的話",9
"定要生",9
"小孩來",9
"就是一",9
"我已經",9
"我現在",9
"是結婚",9
"是覺得",9
"會這樣",9
"有可能",9
"根本不",9
"父母親",9
"現在的",9
"發現我",9
"的女生",9
"的家庭",9
"的朋友",9
"膠原蛋",9
"要不要",9
"覺得不",9
"覺得很",9
"討厭小",9
"買不起",9
"這個世",9
"過小孩",9
"000",8
"olo",8
"sol",8
"一個年",8
"一樣的",8
"不敢生",8
"不生的",8
"也不敢",8
"也不會",8
"了結婚",8
"人生小",8
"但是我",8
"來就是",8
"個問題",8
"價值觀",8
"到小孩",8
"可能是",8
"在一起",8
"大多數",8
"大家會",8
"女孩兒",8
"孩真的",8
"小孩一",8
"小孩了",8
"小孩小",8
"小孩生",8
"小孩還",8
"就不會",8
"想辦法",8
"應該是",8
"我一直",8
"我不想",8
"我個人",8
"我根本",8
"我發現",8
"所以我",8
"時間都",8
"朋友的",8
"每個人",8
"沒有人",8
"父母的",8
"生活費",8
"的情況",8
"的關係",8
"真的不",8
"結婚後",8
"給小孩",8
"自己要",8
"被生出",8
"要小孩",8
"下一代",7
"不一樣",7
"不會生",7
"之後就",7
"也可以",7
"什麼的",7
"他們的",7
"個人的",7
"個年輕",7
"在自己",7
"大部分",7
"如果要",7
"富裕的",7
"對自己",7
"小孩只",7
"小孩啊",7
"就知道",7
"就算了",7
"差不多",7
"幾乎都",7
"快樂的",7
"愛小孩",7
"懷孕生",7
"我一定",7
"我真的",7
"所謂的",7
"敢生小",7
"是不想",7
"是人生",7
"會生小",7
"有一天",7
"有些人",7
"有自己",7
"有這樣",7
"根本沒",7
"樣不夠",7
"沒有結",7
"沒結婚",7
"法想像",7
"然覺得",7
"的女孩",7
"的孩子",7
"的對象",7
"的年紀",7
"的感覺",7
"的痛苦",7
"覺得自",7
"這個問",7
"選擇不",7
"還可以",7
"都覺得",7
"CP值",6
"一樣不",6
"一直被",6
"不可能",6
"不婚不",6
"不想要",6
"不是一",6
"不會有",6
"不覺得",6
"也不是",6
"也沒有",6
"人不想",6
"人就是",6
"什麼不",6
"以接受",6
"來越多",6
"個人都",6
"全部都",6
"到別人",6
"可以生",6
"可是我",6
"和男友",6
"嗎如果",6
"因為有",6
"多人不",6
"大家都",6
"女孩們",6
"女朋友",6
"婚不生",6
"媽媽就",6
"孩可以",6
"孩這件",6
"對小孩",6
"小孩之",6
"小孩你",6
"小孩到",6
"小孩在",6
"小孩帶",6
"小孩後",6
"小孩而",6
"小孩長",6
"小時候",6
"就開始",6
"已經不",6
"希望能",6
"很偉大",6
"很喜歡",6
"從我發",6
"怎麼可",6
"情況下",6
"想生孩",6
"想要小",6
"意生小",6
"慢慢變",6
"我一個",6
"我們家",6
"我們的",6
"我完全",6
"我跟我",6
"打算生",6
"把小孩",6
"是你的",6
"是父母",6
"是現在",6
"時候我",6
"會有這",6
"會比較",6
