"","comments","comments_id","clean_comments","segged_comments"
"1",": 不存在那種影片","mindy3321","不存在那種影片","不　存在　那種　影片"
"2",": 0","ymx3xc","0","0"
"3",": 女兒好能幹...","bastet729","女兒好能幹","女兒　好　能幹"
"4",": https://i.imgur.com/oL9IuW7.jpg","Misscat16868","httpsiimgurcomoL9IuW7jpg","httpsiimgurcomoL9IuW7jpg"
"5",": 男生比較簡單 A片看下去就好","chigo520","男生比較簡單A片看下去就好","男生　比較簡單　A　片　看　下去　就　好"
"6",": 想生就生啊 幹嘛看影片@@","Laurara","想生就生啊幹嘛看影片@@","想生　就生　啊　幹嘛　看　影片"
"7",": 看孩子小時候的影片","starsunlh","看孩子小時候的影片","看　孩子　小時候　的　影片"
"8",": 推薦SPRD-1329這部^^ 如果是葵百合香<U+2665>的話，本噁男倒是","edc3","推薦SPRD-1329這部^^如果是葵百合香<U+2665>的話，本噁男倒是","推薦　SPRD　1329　這部　如果　是　葵　百合　香　的話　本　噁　男　倒　是"
"9",": 很樂意，跟她一起生幾個小噁男^^","edc3","很樂意，跟她一起生幾個小噁男^^","很　樂意　跟　她　一起　生　幾個　小　噁　男"
"10",": 有點劇情，不是那種一般的純幹片XD 建議可以從頭到尾看完^^","edc3","有點劇情，不是那種一般的純幹片XD建議可以從頭到尾看完^^","有點　劇情　不是　那種　一般　的　純幹片　XD　建議　可以　從頭到尾　看　完"
"11",": 小孩子在一歲到兩歲時最可愛","SweetLee","小孩子在一歲到兩歲時最可愛","小孩子　在　一歲　到　兩歲　時　最　可愛"
"12",": 可以結阿","kuninaka","可以結阿","可以　結阿"
"13",": 你就老實說阿","kuninaka","你就老實說阿","你　就　老　實說　阿"
"14",": 公證就好","peter210731","公證就好","公證　就　好"
"15",": 有對象 所以會結 沒對象就不要勉強去找來結吧","XDdong","有對象所以會結沒對象就不要勉強去找來結吧","有　對象　所以　會結　沒　對象　就　不要勉強　去　找來　結吧"
"16",": 長輩希望你找對象結婚的原因是像柯文哲一樣 覺得有結婚","SweetLee","長輩希望你找對象結婚的原因是像柯文哲一樣覺得有結婚","長輩　希望　你　找對象　結婚　的　原因　是　像　柯文　哲　一樣　覺得　有　結婚"
"17",": 就有機會生小孩","SweetLee","就有機會生小孩","就　有　機會　生小孩"
"18",": 其實他們比較想要的還是小孩","SweetLee","其實他們比較想要的還是小孩","其實　他們　比較　想要　的　還是　小孩"
"19",": 至於年輕人不想生小孩還結婚的 大概用處就只有可以互相","SweetLee","至於年輕人不想生小孩還結婚的大概用處就只有可以互相","至於　年輕人　不想生　小孩　還　結婚　的　大概　用處　就　只有　可以　互相"
"20",": 繼承財產而已","SweetLee","繼承財產而已","繼承　財產　而已"
"21",": 跟對象有愛有共識就結啊 沒對象就算了","HayaSan","跟對象有愛有共識就結啊沒對象就算了","跟　對象　有愛有　共識　就結　啊　沒　對象　就算　了"
"22",": 喔 還有 對方外遇可以告人民事求償 不過不愛了還告這個","SweetLee","喔還有對方外遇可以告人民事求償不過不愛了還告這個","喔　還有　對方　外遇　可以　告　人民　事　求償　不過　不愛了　還告　這個"
"23",": 有意義嗎?","SweetLee","有意義嗎?","有　意義　嗎"
"24",": 如果習慣一個人生活了那就跟長輩說清楚啊，或自己搬出","k385476916","如果習慣一個人生活了那就跟長輩說清楚啊，或自己搬出","如果　習慣　一個　人　生活　了　那　就　跟　長輩　說　清楚　啊　或　自己　搬出"
"25",": 去住","k385476916","去住","去　住"
"26",": 找的對象跟你想法一樣就好了","Agneta","找的對象跟你想法一樣就好了","找　的　對象　跟　你　想法　一樣　就　好　了"
"27",": 習慣一個人後 再也無法跟人常態性同床睡覺起居了","ewjfd","習慣一個人後再也無法跟人常態性同床睡覺起居了","習慣　一個　人　後　再也　無法　跟　人　常態　性　同床　睡覺　起居　了"
"28",": 我是直接選擇不結啦XD","mindy3321","我是直接選擇不結啦XD","我　是　直接　選擇　不結　啦　XD"
"29",": 建議不要 公婆很麻煩的","bb101","建議不要公婆很麻煩的","建議　不要　公婆　很　麻煩　的"
"30",": 不自由 毋寧死 六字送給尼的家人","icolee","不自由毋寧死六字送給尼的家人","不　自由　毋寧死　六字　送給　尼　的　家人"
"31",": 享受一個人的生活就不用結阿~話說要結婚也要有對象啊","yniori","享受一個人的生活就不用結阿~話說要結婚也要有對象啊","享受　一個　人　的　生活　就　不用　結阿　話　說　要　結婚　也　要　有　對象　啊"
"32",": 婚姻不只有小孩呀 難道看到夫妻沒小孩的你就想說為什麼他們","sn0w","婚姻不只有小孩呀難道看到夫妻沒小孩的你就想說為什麼他們","婚姻　不　只有　小孩　呀　難道　看到　夫妻　沒　小孩　的　你　就　想　說　為　什麼　他們"
"33",": 不離婚嗎？","sn0w","不離婚嗎？","不　離婚　嗎"
"34",": 要想好怎麼面對與處理姻親吧 結婚要考慮這些","pierides47","要想好怎麼面對與處理姻親吧結婚要考慮這些","要　想　好　怎麼　面對　與　處理　姻親　吧　結婚　要　考慮　這些"
"35",": 結婚不結婚都會被問","Xin0yu0u","結婚不結婚都會被問","結婚　不　結婚　都　會　被問"
"36",": 妳結了就會開始問小孩的事了","afa76","妳結了就會開始問小孩的事了","妳　結　了　就　會　開始　問　小孩　的　事　了"
"37",": 3樓，公證就是結婚了啊","cashko","3樓，公證就是結婚了啊","3　樓　公證　就是　結婚　了　啊"
"38",": 自己過的開心就好了 管那麼多","chein17","自己過的開心就好了管那麼多","自己　過的　開心　就　好　了　管　那麼　多"
"39",": 結了一定會被催生的","bettys111","結了一定會被催生的","結了　一定　會　被　催生　的"
"40",": 夫妻沒小孩的一開始也是為了要有小孩才結，只是生不出來才","BBScom","夫妻沒小孩的一開始也是為了要有小孩才結，只是生不出來才","夫妻　沒　小孩　的　一　開始　也　是　為　了　要　有　小孩　才　結　只是　生不　出來　才"
"41",": 對外說我們不喜歡小孩。不然結婚對男人來說沒半點好處","BBScom","對外說我們不喜歡小孩。不然結婚對男人來說沒半點好處","對外　說　我們　不喜歡小孩　不然　結婚　對　男人　來說　沒　半點　好處"
"42",": 不要對外公開啊","namis77","不要對外公開啊","不要　對外　公開　啊"
"43",": 世事難料喔~","Kostat","世事難料喔~","世事難料　喔"
"44",": 會啊！長輩會希望妳有個伴，有個家人照顧妳","valentian","會啊！長輩會希望妳有個伴，有個家人照顧妳","會啊　長輩　會　希望　妳有　個伴　有個　家人　照顧　妳"
"45",": 沒結婚沒血緣的兩人，在法律上就是陌生人，在醫療和繼","valentian","沒結婚沒血緣的兩人，在法律上就是陌生人，在醫療和繼","沒　結婚　沒　血緣　的　兩人　在　法律　上　就是　陌生人　在　醫療　和繼"
"46",": 承等事宜上幫不了對方","valentian","承等事宜上幫不了對方","承　等　事宜　上　幫不了　對方"
"47",": 建議不要 結了婚你都子宮不是你的子宮 子宮所有權剩一","littlebun","建議不要結了婚你都子宮不是你的子宮子宮所有權剩一","建議　不要　結了婚　你　都　子宮　不是　你　的　子宮　子宮　所有權　剩一"
"48",": 半 不想要孩子還要先生同意 已婚後發現這點非常後悔","littlebun","半不想要孩子還要先生同意已婚後發現這點非常後悔","半　不　想要　孩子　還要　先生　同意　已婚　後　發現　這點　非常　後悔"
"49",": 結婚對女人來說也沒半點好處好嗎","tver","結婚對女人來說也沒半點好處好嗎","結婚　對　女人　來說　也　沒　半點　好處　好　嗎"
"50",": 結婚為什麼一定要生小孩","yangnaianaia","結婚為什麼一定要生小孩","結婚　為　什麼　一定　要　生小孩"
"51",": 沒對象為什麼要結？為了移民？","apreel","沒對象為什麼要結？為了移民？","沒　對象　為　什麼　要結　為　了　移民"
"52",": 別登記就好，剩下的跟長輩演演戲","kkwwee","別登記就好，剩下的跟長輩演演戲","別　登記　就　好　剩下　的　跟　長輩　演　演戲"
"53",": 結了就會被被問什麼時候生，生了就會問什麼時候生第二","q0u04bj3","結了就會被被問什麼時候生，生了就會問什麼時候生第二","結了　就　會　被　被問　什麼　時候　生　生　了　就　會問　什麼　時候　生　第二"
"54",": 個，給你參考","q0u04bj3","個，給你參考","個　給你　參考"
"55",": 結了非常可能會不小心中獎，不要結最好","SYAA","結了非常可能會不小心中獎，不要結最好","結了　非常　可能　會　不　小心　中獎　不要　結　最好"
"56",": 不生小孩 真的沒有必要","denpa5566","不生小孩真的沒有必要","不生　小孩　真的　沒有　必要"
"57",": 其實不用 何必一紙婚約束縛","buwa56","其實不用何必一紙婚約束縛","其實　不用　何必　一紙　婚約　束縛"
"58",": 以前也是覺得一個人很好，不想結婚，後來聽一個老師說：","lyf0910","以前也是覺得一個人很好，不想結婚，後來聽一個老師說：","以前　也　是　覺得　一個　人　很　好　不想　結婚　後來　聽　一個　老師　說"
"59",": 你父母是誰，你不能選；你兄弟姐妹是誰，你也不能選；甚","lyf0910","你父母是誰，你不能選；你兄弟姐妹是誰，你也不能選；甚","你　父母　是　誰　你　不能　選　你　兄弟姐妹　是　誰　你　也　不能　選　甚"
"60",": 至你小孩是誰，你也不能選，你人生唯一可以選擇的親人就","lyf0910","至你小孩是誰，你也不能選，你人生唯一可以選擇的親人就","至　你　小孩　是　誰　你　也　不能　選　你　人生　唯一　可以　選擇　的　親人　就"
"61",": 只有你另一半，你不覺得不好好選一下你唯一可以選擇的親","lyf0910","只有你另一半，你不覺得不好好選一下你唯一可以選擇的親","只有　你　另一半　你　不　覺得　不　好好　選　一下　你　唯一　可以　選擇　的親"
"62",": 人很可惜嗎XDD聽完覺得很有道理就對結婚這件事釋懷了","lyf0910","人很可惜嗎XDD聽完覺得很有道理就對結婚這件事釋懷了","人　很　可惜　嗎　XDD　聽　完　覺得很有　道理　就　對　結婚　這件　事　釋懷　了"
"63",": 結婚有公婆和公媽的問題","KittyDog","結婚有公婆和公媽的問題","結婚　有　公婆　和　公媽　的　問題"
"64",": 能頂得住長輩催婚的 才可能頂得住接下來的催生大寶二寶QQ","saluawu","能頂得住長輩催婚的才可能頂得住接下來的催生大寶二寶QQ","能　頂得住　長輩　催婚　的　才　可能　頂得住　接下來　的　催生　大寶　二寶　QQ"
"65",": 我有同學跟學長結婚 婚前就擺明不生 結婚只是為了想跟對","saluawu","我有同學跟學長結婚婚前就擺明不生結婚只是為了想跟對","我　有　同學　跟　學長　結婚　婚前　就　擺明　不生　結婚　只是　為　了　想　跟　對"
"66",": 方結婚而結婚 長輩念了十年↑ 照樣不生小孩XDD","saluawu","方結婚而結婚長輩念了十年照樣不生小孩XDD","方　結婚　而　結婚　長輩　念　了　十年　照樣　不生　小孩　XDD"
"67",": 有一個朋友就是單純相愛就很早結婚，十年了堅持不生小","audrey94","有一個朋友就是單純相愛就很早結婚，十年了堅持不生小","有　一個　朋友　就是　單純　相愛　就　很早　結婚　十年　了　堅持　不生　小"
"68",": 孩，夫妻倆都很硬，長輩已放棄","audrey94","孩，夫妻倆都很硬，長輩已放棄","孩　夫妻倆　都　很　硬　長輩　已　放棄"
"69",": 婚育是兩回事","RoxanneC","婚育是兩回事","婚育　是　兩回事"
"70",": 結了又會一直問什麼時候要生，這種話聽聽就好","fanfan0113","結了又會一直問什麼時候要生，這種話聽聽就好","結了　又　會　一直　問　什麼　時候　要生　這種　話　聽聽　就　好"
"71",": 如果現在覺得被問很煩，那麼結婚後被姻親各種關心更是煩","catherli","如果現在覺得被問很煩，那麼結婚後被姻親各種關心更是煩","如果　現在　覺得　被問　很煩　那麼　結婚　後　被　姻親　各種　關心　更是　煩"
"72",": 上加煩","catherli","上加煩","上加煩"
"73",": 這是二回事 沒有衝突啊","paterol","這是二回事沒有衝突啊","這是　二　回事　沒有　衝突　啊"
"74",": 我就是因為不想生才更想結婚  給你參考","iamkim","我就是因為不想生才更想結婚給你參考","我　就是　因為　不想生　才　更　想　結婚　給你　參考"
"75",": 找個伴就好，結婚是帶有責任的，即使不生，另一半也要照","faceto","找個伴就好，結婚是帶有責任的，即使不生，另一半也要照","找個　伴　就　好　結婚　是　帶有　責任　的　即使　不生　另一半　也　要　照"
"76",": 料","faceto","料","料"
"77",": 不生小孩不用結婚","caumu","不生小孩不用結婚","不生　小孩　不用　結婚"
"78",": 至少生病開刀有人可以幫你填同意書","ca00265","至少生病開刀有人可以幫你填同意書","至少　生病　開刀　有人　可以　幫　你　填　同意書"
"79",": 回標題：絕對超多，尤其在PTT一堆不生的","AsllaPiscu","回標題：絕對超多，尤其在PTT一堆不生的","回　標題　絕對　超多　尤其　在　PTT　一堆　不生　的"
"80",": 直接其中一方去結紮不就好了 怕什麼","linda17a3","直接其中一方去結紮不就好了怕什麼","直接　其中　一方　去　結紮　不　就　好　了　怕　什麼"
"81",": 我啊 超討厭小孩 如果男方強迫我生應該會分手","fish551959","我啊超討厭小孩如果男方強迫我生應該會分手","我　啊　超　討厭　小孩　如果　男方　強迫　我生　應該　會　分手"
"82",": 老實說我不知道結婚跟生小孩的關聯。不生小孩可以結婚","azasibyl","老實說我不知道結婚跟生小孩的關聯。不生小孩可以結婚","老　實說　我　不　知道　結婚　跟　生小孩　的　關聯　不生　小孩　可以　結婚"
"83",": 前就講清楚說明白。婚，還是可以結的。但是運氣不好的","azasibyl","前就講清楚說明白。婚，還是可以結的。但是運氣不好的","前　就　講清楚　說明　白　婚　還是　可以　結　的　但是　運氣　不好　的"
"84",": 話，結婚後有一堆狗屁倒灶的傳統、人事物。這些東西比","azasibyl","話，結婚後有一堆狗屁倒灶的傳統、人事物。這些東西比","話　結婚　後　有　一堆　狗屁　倒灶　的　傳統　人　事物　這些　東西　比"
"85",": 生小孩可怕太多了。","azasibyl","生小孩可怕太多了。","生小孩　可怕　太多　了"
"86",": 哪個夠有錢的家族，是不傳統的？不夠有錢，誰鳥你家的傳統","wowzz","哪個夠有錢的家族，是不傳統的？不夠有錢，誰鳥你家的傳統","哪個　夠有　錢　的　家族　是　不　傳統　的　不夠　有　錢　誰　鳥　你家　的　傳統"
"87",": 所以我說運氣不好的話嘛","azasibyl","所以我說運氣不好的話嘛","所以　我　說　運氣　不好　的話　嘛"
"88",": 我因為這個情況跟前男友分手","ANTBAK","我因為這個情況跟前男友分手","我　因為　這個　情況　跟前　男友　分手"
"89",": 我以前不想結婚的原因是因為不想生小孩，現在四十歲才","carrotkaka","我以前不想結婚的原因是因為不想生小孩，現在四十歲才","我　以前　不想　結婚　的　原因　是　因為　不想生　小孩　現在　四十歲　才"
"90",": 發現如果有結婚生子女似乎不錯，但來不及惹。@@","carrotkaka","發現如果有結婚生子女似乎不錯，但來不及惹。@@","發現　如果　有　結婚生子　女　似乎　不錯　但　來不及　惹"
"91",": 現在結婚要拿小孩還要丈夫同意哦，不想生別結婚免得","Rainbowdays","現在結婚要拿小孩還要丈夫同意哦，不想生別結婚免得","現在　結婚　要　拿　小孩　還要　丈夫　同意　哦　不想生　別　結婚　免得"
"92",": 不小心有了被逼生。","Rainbowdays","不小心有了被逼生。","不　小心　有　了　被　逼生"
"93",": 也請大家關注修法改掉這個法令，女生要有自己生體自","Rainbowdays","也請大家關注修法改掉這個法令，女生要有自己生體自","也　請　大家　關注　修法　改掉　這個　法令　女生　要　有　自己　生體　自"
"94",": 主權。","Rainbowdays","主權。","主權"
"95",": 說真的...身邊的親友包括我自己 沒有什麼女生在怕懷孕生產","chiick","說真的身邊的親友包括我自己沒有什麼女生在怕懷孕生產","說真的　身邊　的　親友　包括　我　自己　沒有　什麼　女生　在　怕　懷孕　生產"
